"SIGLA","idsensore","Comune","NomeTipoSensore","valore","anno","NomeTipoSensoreENG","ProvinciaLong"
"VA",5555,"Varese","Biossido di Azoto",19.4464001897758,2021,"NO2 - Nitrogen Dioxide","Varese"
"VA",5557,"Saronno","Biossido di Azoto",21.8049369869349,2021,"NO2 - Nitrogen Dioxide","Varese"
"VA",5561,"Busto Arsizio","Biossido di Azoto",22.3174448022079,2021,"NO2 - Nitrogen Dioxide","Varese"
"VA",5563,"Varese","Biossido di Azoto",26.1620845396642,2021,"NO2 - Nitrogen Dioxide","Varese"
"VA",5749,"Saronno","Ozono",50.5094739292365,2021,"O3 - Ozone","Varese"
"VA",5750,"Varese","Ozono",55.4938273059253,2021,"O3 - Ozone","Varese"
"VA",5847,"Busto Arsizio","Monossido di Carbonio",0.462801484230056,2021,"CO - Carbon Monoxide","Varese"
"VA",5853,"Varese","Monossido di Carbonio",0.424671583314128,2021,"CO - Carbon Monoxide","Varese"
"VA",6386,"Busto Arsizio","Ossidi di Azoto",47.2010457366123,2021,"NO - Nitric Oxide","Varese"
"VA",6398,"Saronno","Ossidi di Azoto",44.8858904899135,2021,"NO - Nitric Oxide","Varese"
"VA",6400,"Varese","Ossidi di Azoto",48.2713954834974,2021,"NO - Nitric Oxide","Varese"
"VA",6402,"Varese","Ossidi di Azoto",30.1359591885158,2021,"NO - Nitric Oxide","Varese"
"VA",6915,"Saronno","PM10 (SM2005)",28.7688022284123,2021,"PM10","Varese"
"VA",6917,"Busto Arsizio","PM10 (SM2005)",22.8218390804598,2021,"PM10","Varese"
"VA",6918,"Varese","PM10 (SM2005)",22.0819209039548,2021,"PM10","Varese"
"VA",9873,"Saronno","Particelle sospese PM2.5",19.3081395348837,2021,"PM2.5","Varese"
"VA",10037,"Ferno","Ossidi di Azoto",36.6304199103562,2021,"NO - Nitric Oxide","Varese"
"VA",10038,"Ferno","Biossido di Azoto",20.3702192879038,2021,"NO2 - Nitrogen Dioxide","Varese"
"VA",10039,"Ferno","Monossido di Carbonio",0.301094339622642,2021,"CO - Carbon Monoxide","Varese"
"VA",10041,"Ferno","Ozono",44.7688162030031,2021,"O3 - Ozone","Varese"
"VA",10043,"Ferno","PM10 (SM2005)",28.1145251396648,2021,"PM10","Varese"
"VA",10449,"Varese","Particelle sospese PM2.5",16.487106017192,2021,"PM2.5","Varese"
"VA",17295,"Busto Arsizio","Ozono",43.8920822141773,2021,"O3 - Ozone","Varese"
"VA",5555,"Varese","Biossido di Azoto",18.5578658117701,2020,"NO2 - Nitrogen Dioxide","Varese"
"VA",5557,"Saronno","Biossido di Azoto",23.2257941550191,2020,"NO2 - Nitrogen Dioxide","Varese"
"VA",5561,"Busto Arsizio","Biossido di Azoto",23.2316542644533,2020,"NO2 - Nitrogen Dioxide","Varese"
"VA",5563,"Varese","Biossido di Azoto",26.0448002754821,2020,"NO2 - Nitrogen Dioxide","Varese"
"VA",5749,"Saronno","Ozono",48.8749388895356,2020,"O3 - Ozone","Varese"
"VA",5750,"Varese","Ozono",55.1785772310549,2020,"O3 - Ozone","Varese"
"VA",5847,"Busto Arsizio","Monossido di Carbonio",0.500343563902886,2020,"CO - Carbon Monoxide","Varese"
"VA",5853,"Varese","Monossido di Carbonio",0.44431752624899,2020,"CO - Carbon Monoxide","Varese"
"VA",6386,"Busto Arsizio","Ossidi di Azoto",52.184290617849,2020,"NO - Nitric Oxide","Varese"
"VA",6398,"Saronno","Ossidi di Azoto",51.8429857984067,2020,"NO - Nitric Oxide","Varese"
"VA",6400,"Varese","Ossidi di Azoto",48.0300572737686,2020,"NO - Nitric Oxide","Varese"
"VA",6402,"Varese","Ossidi di Azoto",28.9152565721502,2020,"NO - Nitric Oxide","Varese"
"VA",6915,"Saronno","PM10 (SM2005)",28.3462603878116,2020,"PM10","Varese"
"VA",6917,"Busto Arsizio","PM10 (SM2005)",22.1593406593407,2020,"PM10","Varese"
"VA",6918,"Varese","PM10 (SM2005)",23.0604395604396,2020,"PM10","Varese"
"VA",9873,"Saronno","Particelle sospese PM2.5",20.1527377521614,2020,"PM2.5","Varese"
