IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng
6398,Ossidi di Azoto,µg/m≥,554,Saronno v.Santuario,212,VA,Saronno,N,28/03/1997,,5052646,502058,45.62735705,9.02640138
5749,Ozono,µg/m≥,554,Saronno v.Santuario,212,VA,Saronno,N,09/05/1991,,5052646,502058,45.62735705,9.02640138
5735,Ozono,µg/m≥,576,Merate v. Madonna di Loreto,279,LC,Merate,S,17/02/1991,15/03/2022,5060569,531623,45.69795199,9.406190939
10197,Particelle sospese PM2.5,µg/m≥,697,Borgofranco sul Po loc. Bonizzo,14,MN,Borgofranco sul Po,N,01/12/2006,,4990430,671752,45.04650154,11.18093582
20465,BlackCarbon,µg/m≥,548,Milano v.Senato,118,MI,Milano,N,,,5035238,515435,45.47049901,9.19746036
6915,PM10 (SM2005),µg/m≥,554,Saronno v.Santuario,212,VA,Saronno,N,16/12/2003,,5052646,502058,45.62735705,9.02640138
9873,Particelle sospese PM2.5,µg/m≥,554,Saronno v.Santuario,212,VA,Saronno,N,11/12/2005,,5052646,502058,45.62735705,9.02640138
5657,Biossido di Zolfo,µg/m≥,554,Saronno v.Santuario,212,VA,Saronno,S,09/05/1991,24/03/2001,5052646,502058,45.62735705,9.02640138
5664,Biossido di Zolfo,µg/m≥,612,Filago v.Fermi,176,BG,Filago,S,17/07/1992,,5052474,543382,45.62445648,9.55650435
5557,Biossido di Azoto,µg/m≥,554,Saronno v.Santuario,212,VA,Saronno,N,28/03/1997,,5052646,502058,45.62735705,9.02640138
20429,PM10 (SM2005),µg/m≥,501,Milano v.Marche,129,MI,Milano,N,01/01/2018,,5038105,514918,45.49631644,9.190933555
10323,Ossidi di Azoto,µg/m≥,707,Mortara v. Trento,108,PV,Mortara,S,04/10/2007,12/05/2021,5011280,479925,45.25472872,8.74415438
10321,Biossido di Azoto,µg/m≥,707,Mortara v. Trento,108,PV,Mortara,S,04/10/2007,12/05/2021,5011280,479925,45.25472872,8.74415438
10346,Particelle sospese PM2.5,µg/m≥,707,Mortara v. Trento,108,PV,Mortara,S,01/12/2007,12/05/2021,5011280,479925,45.25472872,8.74415438
10324,Ozono,µg/m≥,707,Mortara v. Trento,108,PV,Mortara,S,04/10/2007,12/05/2021,5011280,479925,45.25472872,8.74415438
5811,Monossido di Carbonio,mg/m≥,598,San Rocco al Porto v.Matteotti,50,LO,San Rocco al Porto,S,25/02/2002,31/12/2021,4992297,555154,45.0819867,9.700788177
10023,Monossido di Carbonio,mg/m≥,685,Calusco d'Adda v. Caduti sul Lavoro,273,BG,Calusco d'Adda,S,30/06/2006,,5059767,537706,45.69042908,9.484260928
20529,Particelle sospese PM2.5,µg/m≥,501,Milano v.Marche,129,MI,Milano,N,01/01/2022,,5038105,514918,45.49631644,9.190933555
20484,Ammoniaca,µg/m≥,705,Milano Pascal Citt√É¬† Studi,122,MI,Milano,N,,,5036190,518405,45.47899606,9.235491038
17286,Biossido di Azoto,µg/m≥,1374,Monza Parco,181,MB,Monza,N,01/05/2013,,5049780,521452,45.6012322,9.275072658
17284,Ammoniaca,µg/m≥,1374,Monza Parco,181,MB,Monza,N,08/02/2013,,5049780,521452,45.6012322,9.275072658
17290,PM10 (SM2005),µg/m≥,1374,Monza Parco,181,MB,Monza,N,15/02/2013,,5049780,521452,45.6012322,9.275072658
17285,Ossidi di Azoto,µg/m≥,1374,Monza Parco,181,MB,Monza,N,01/05/2013,,5049780,521452,45.6012322,9.275072658
17288,Ozono,µg/m≥,1374,Monza Parco,181,MB,Monza,N,09/02/2013,,5049780,521452,45.6012322,9.275072658
10112,Ozono,µg/m≥,698,Ceneselli v. Moro,13,RO,Ceneselli,S,28/11/2006,01/01/2017,4987161,686934,45.01325677,11.37234495
12663,Cadmio,ng/m≥,681,Moggio Loc. Penscei,1194,LC,Moggio,N,14/06/2008,,5084478,538586,45.91278752,9.497538168
12531,PM10 (SM2005),µg/m≥,1297,Spinadesco v.Battisti,48,CR,Spinadesco,N,16/02/2011,,5000087,573153,45.15046887,9.930596472
5665,Biossido di Zolfo,µg/m≥,595,Filago v.Don Milani,190,BG,Filago,N,07/12/1991,,5053519,543342,45.63386451,9.556084256
