"idsensore","tipologia","unit_dimisura","idstazione","nomestazione","quota","provincia","storico","datastart","datastop","cgb_nord","cgb_est","lat","lng","coordinate"
101,Altezza Neve,cm,52,Grosio Diga Fusino,1220,SO,N,2001-12-01 00:00:00.000,9999-12-31 00:00:00.000,5131141,595908,46.327056884765625,10.245969772338867,"(46.327057, 10.24597)"
10373,Precipitazione,mm,687,Ferno v.Di Dio,215,VA,N,2007-08-13 00:00:00.000,9999-12-31 00:00:00.000,5051773,481053,45.61924362182617,8.756970405578613,"(45.619244, 8.75697)"
10376,Precipitazione,mm,706,Lecco v.Sora,272,LC,N,2008-07-22 00:00:00.000,9999-12-31 00:00:00.000,5078987,531045,45.86375045776367,9.39995002746582,"(45.86375, 9.39995)"
10377,Temperatura,°C,706,Lecco v.Sora,272,LC,N,2008-07-22 00:00:00.000,9999-12-31 00:00:00.000,5078987,531045,45.86375045776367,9.39995002746582,"(45.86375, 9.39995)"
10381,Umidità Relativa,%,706,Lecco v.Sora,272,LC,N,2008-07-22 00:00:00.000,9999-12-31 00:00:00.000,5078987,531045,45.86375045776367,9.39995002746582,"(45.86375, 9.39995)"
10382,Radiazione Globale,W/m²,706,Lecco v.Sora,272,LC,N,2008-07-31 00:00:00.000,9999-12-31 00:00:00.000,5078987,531045,45.86375045776367,9.39995002746582,"(45.86375, 9.39995)"
10443,Precipitazione,mm,1264,Sondrio v.Paribelli,290,SO,S,2008-11-17 00:00:00.000,2019-01-22 00:00:00.000,5113073,567873,46.16785430908203,9.879209518432617,"(46.167854, 9.8792095)"
10461,Direzione Vento,°,1266,Bertonico v.Moro,65,LO,N,2009-03-03 00:00:00.000,9999-12-31 00:00:00.000,5009105,552297,45.23349380493164,9.666250228881836,"(45.233494, 9.66625)"
10465,Precipitazione,mm,1266,Bertonico v.Moro,65,LO,N,2009-03-03 00:00:00.000,9999-12-31 00:00:00.000,5009105,552297,45.23349380493164,9.666250228881836,"(45.233494, 9.66625)"
10467,Radiazione Globale,W/m²,1266,Bertonico v.Moro,65,LO,N,2009-03-03 00:00:00.000,9999-12-31 00:00:00.000,5009105,552297,45.23349380493164,9.666250228881836,"(45.233494, 9.66625)"
10469,Temperatura,°C,1266,Bertonico v.Moro,65,LO,N,2009-03-03 00:00:00.000,9999-12-31 00:00:00.000,5009105,552297,45.23349380493164,9.666250228881836,"(45.233494, 9.66625)"
10470,Umidità Relativa,%,1266,Bertonico v.Moro,65,LO,N,2009-03-03 00:00:00.000,9999-12-31 00:00:00.000,5009105,552297,45.23349380493164,9.666250228881836,"(45.233494, 9.66625)"
