IdSensore,Data,Valore,Stato,idOperatore
3,01/01/2022 00:00,35,VA,1
6,01/01/2022 00:00,11.8,VA,1
9,01/01/2022 00:00,0,VA,4
11,01/01/2022 00:00,0,VA,4
13,01/01/2022 00:00,7.2,VA,1
15,01/01/2022 00:00,8,VA,1
16,01/01/2022 00:00,27,VA,1
19,01/01/2022 00:00,0,VA,4
20,01/01/2022 00:00,0,VA,4
21,01/01/2022 00:00,0,VA,4
28,01/01/2022 00:00,3.1,VA,1
29,01/01/2022 00:00,0.4,VA,1
30,01/01/2022 00:00,-3.2,VA,1
34,01/01/2022 00:00,0,VA,4
35,01/01/2022 00:00,0,VA,4
40,01/01/2022 00:00,0,VA,4
41,01/01/2022 00:00,0,VA,4
42,01/01/2022 00:00,0,VA,4
43,01/01/2022 00:00,0,VA,4
46,01/01/2022 00:00,0,VA,4
53,01/01/2022 00:00,9.9,VA,1
54,01/01/2022 00:00,5.4,VA,1
64,01/01/2022 00:00,13,VA,1
66,01/01/2022 00:00,8.1,VA,1
67,01/01/2022 00:00,23.9,VA,1
68,01/01/2022 00:00,38.8,VA,1
99,01/01/2022 00:00,6.9,VA,1
100,01/01/2022 00:00,0,VA,4
101,01/01/2022 00:00,3.9,VA,1
112,01/01/2022 00:00,7.5,VA,1
113,01/01/2022 00:00,0,VA,4
114,01/01/2022 00:00,0.8,VA,1
115,01/01/2022 00:00,7.2,VA,1
116,01/01/2022 00:00,0,VA,4
117,01/01/2022 00:00,47,VA,1
121,01/01/2022 00:00,10.8,VA,1
122,01/01/2022 00:00,0,VA,4
133,01/01/2022 00:00,7.2,VA,1
135,01/01/2022 00:00,0,VA,4
139,01/01/2022 00:00,1.8,VA,1
203,01/01/2022 00:00,36.7,VA,1
205,01/01/2022 00:00,24.8,VA,1
1346,01/01/2022 00:00,8.8,VA,1
1366,01/01/2022 00:00,0,VA,4
1367,01/01/2022 00:00,9.4,VA,1
1368,01/01/2022 00:00,9.5,VA,1
2001,01/01/2022 00:00,-0.3,VA,1
2002,01/01/2022 00:00,98,VA,1
2006,01/01/2022 00:00,0,VA,4
2008,01/01/2022 00:00,0,VA,1
2039,01/01/2022 00:00,1,VA,1
2040,01/01/2022 00:00,100,VA,1
2044,01/01/2022 00:00,0,VA,1
2046,01/01/2022 00:00,0,VA,4
2082,01/01/2022 00:00,9.6,VA,1
2083,01/01/2022 00:00,61,VA,1
2084,01/01/2022 00:00,0,VA,1
2089,01/01/2022 00:00,0,VA,4
2096,01/01/2022 00:00,0.4,VA,1
2097,01/01/2022 00:00,94,VA,1
2098,01/01/2022 00:00,0,VA,1
2103,01/01/2022 00:00,0,VA,4
2110,01/01/2022 00:00,0.2,VA,1
2111,01/01/2022 00:00,100,VA,1
2112,01/01/2022 00:00,0,VA,1
2116,01/01/2022 00:00,0,VA,4
2122,01/01/2022 00:00,1.8,VA,1
2123,01/01/2022 00:00,100,VA,1
2124,01/01/2022 00:00,0,VA,1
2129,01/01/2022 00:00,0,VA,4
2134,01/01/2022 00:00,3.3,VA,1
2135,01/01/2022 00:00,100,VA,1
2136,01/01/2022 00:00,0,VA,1
2140,01/01/2022 00:00,0,VA,4
2146,01/01/2022 00:00,14.2,VA,1
2147,01/01/2022 00:00,15,VA,1
2148,01/01/2022 00:00,0,VA,1
2152,01/01/2022 00:00,0,VA,4
2187,01/01/2022 00:00,1.8,VA,1
2188,01/01/2022 00:00,100,VA,1
2190,01/01/2022 00:00,0,VA,1
2195,01/01/2022 00:00,0,VA,4
2245,01/01/2022 00:00,6.4,VA,1
2246,01/01/2022 00:00,53,VA,1
2251,01/01/2022 00:00,0,VA,4
2270,01/01/2022 00:00,6,VA,1
2271,01/01/2022 00:00,62,VA,1
2275,01/01/2022 00:00,0,VA,1
2278,01/01/2022 00:00,0,VA,4
2327,01/01/2022 00:00,1.8,VA,1
2328,01/01/2022 00:00,100,VA,1
2333,01/01/2022 00:00,0,VA,1
2336,01/01/2022 00:00,0,VA,4
2361,01/01/2022 00:00,-1.2,VA,1
2362,01/01/2022 00:00,99,VA,1
2364,01/01/2022 00:00,0,VA,1
2368,01/01/2022 00:00,0,VA,4
2384,01/01/2022 00:00,0,VA,1
2385,01/01/2022 00:00,0,VA,4
2400,01/01/2022 00:00,0.2,VA,1
2401,01/01/2022 00:00,100,VA,1
2404,01/01/2022 00:00,0,VA,1
2408,01/01/2022 00:00,0,VA,4
2414,01/01/2022 00:00,2.1,VA,1
2415,01/01/2022 00:00,100,VA,1
2417,01/01/2022 00:00,0,VA,4
2433,01/01/2022 00:00,1.1,VA,1
2434,01/01/2022 00:00,100,VA,1
2435,01/01/2022 00:00,0,VA,1
2441,01/01/2022 00:00,0,VA,4
2447,01/01/2022 00:00,11.9,VA,1
2448,01/01/2022 00:00,24,VA,1
2449,01/01/2022 00:00,0,VA,1
2452,01/01/2022 00:00,0,VA,4
2459,01/01/2022 00:00,1.5,VA,1
2460,01/01/2022 00:00,100,VA,1
2461,01/01/2022 00:00,0,VA,1
2465,01/01/2022 00:00,0,VA,4
2485,01/01/2022 00:00,2.2,VA,1
2486,01/01/2022 00:00,100,VA,1
2488,01/01/2022 00:00,0,VA,1
2492,01/01/2022 00:00,0,VA,4
2497,01/01/2022 00:00,0.8,VA,1
2498,01/01/2022 00:00,99,VA,1
2502,01/01/2022 00:00,0,VA,4
2596,01/01/2022 00:00,0,VA,4
2612,01/01/2022 00:00,20,VA,1
2613,01/01/2022 00:00,13.7,VA,1
2614,01/01/2022 00:00,0,VA,4
2620,01/01/2022 00:00,2.7,VA,1
2621,01/01/2022 00:00,100,VA,1
2623,01/01/2022 00:00,0,VA,1
2626,01/01/2022 00:00,0,VA,4
3062,01/01/2022 00:00,211.9,VA,1
3092,01/01/2022 00:00,331,VA,1
3118,01/01/2022 00:00,17.9,VA,1
4009,01/01/2022 00:00,0.8,VA,1
4010,01/01/2022 00:00,99,VA,1
4012,01/01/2022 00:00,0,VA,1
4016,01/01/2022 00:00,0,VA,4
4017,01/01/2022 00:00,-2.1,VA,1
4018,01/01/2022 00:00,99,VA,1
4024,01/01/2022 00:00,1.6,VA,3
4024,01/01/2022 00:00,0.9,VA,1
4025,01/01/2022 00:00,0,VA,4
4027,01/01/2022 00:00,33,VA,1
4029,01/01/2022 00:00,0,VA,1
4034,01/01/2022 00:00,8,VA,1
4035,01/01/2022 00:00,23,VA,1
4037,01/01/2022 00:00,0,VA,1
4040,01/01/2022 00:00,9,VA,3
4040,01/01/2022 00:00,6.9,VA,1
4041,01/01/2022 00:00,0,VA,4
4042,01/01/2022 00:00,0.9,VA,1
4043,01/01/2022 00:00,97,VA,1
4045,01/01/2022 00:00,0,VA,1
4048,01/01/2022 00:00,0.8,VA,3
4048,01/01/2022 00:00,0.5,VA,1
4049,01/01/2022 00:00,0,VA,4
4050,01/01/2022 00:00,10.1,VA,1
4051,01/01/2022 00:00,21,VA,1
4053,01/01/2022 00:00,0,VA,1
4056,01/01/2022 00:00,3.9,VA,1
4056,01/01/2022 00:00,6.2,VA,3
4057,01/01/2022 00:00,0,VA,4
4058,01/01/2022 00:00,-0.4,VA,1
4059,01/01/2022 00:00,99,VA,1
4060,01/01/2022 00:00,0,VA,1
4064,01/01/2022 00:00,0.4,VA,1
4064,01/01/2022 00:00,0.7,VA,3
4065,01/01/2022 00:00,0,VA,4
4066,01/01/2022 00:00,-0.6,VA,1
4067,01/01/2022 00:00,100,VA,1
4069,01/01/2022 00:00,0,VA,1
4072,01/01/2022 00:00,1.3,VA,3
4072,01/01/2022 00:00,1,VA,1
4082,01/01/2022 00:00,3.1,VA,1
4083,01/01/2022 00:00,100,VA,1
4085,01/01/2022 00:00,0,VA,1
4088,01/01/2022 00:00,2,VA,3
4088,01/01/2022 00:00,1.6,VA,1
4089,01/01/2022 00:00,0,VA,4
4112,01/01/2022 00:00,0,VA,4
5121,01/01/2022 00:00,2.8,VA,1
5122,01/01/2022 00:00,99,VA,1
5124,01/01/2022 00:00,0,VA,1
5127,01/01/2022 00:00,2.4,VA,1
5127,01/01/2022 00:00,3.3,VA,3
5128,01/01/2022 00:00,0,VA,4
5856,01/01/2022 00:00,0,VA,4
5857,01/01/2022 00:00,0,VA,4
5858,01/01/2022 00:00,0,VA,4
5861,01/01/2022 00:00,0,VA,4
5863,01/01/2022 00:00,0.4,VA,1
5864,01/01/2022 00:00,4,VA,1
5865,01/01/2022 00:00,1,VA,1
5868,01/01/2022 00:00,4.6,VA,1
5870,01/01/2022 00:00,0,VA,4
5871,01/01/2022 00:00,1.1,VA,1
5876,01/01/2022 00:00,0,VA,4
5877,01/01/2022 00:00,-30,VA,1
5890,01/01/2022 00:00,1.2,VA,1
5897,01/01/2022 00:00,4.3,VA,1
5902,01/01/2022 00:00,0,VA,4
5903,01/01/2022 00:00,-0.4,VA,1
5908,01/01/2022 00:00,0,VA,4
5909,01/01/2022 00:00,4.1,VA,1
5910,01/01/2022 00:00,0.2,VA,1
5911,01/01/2022 00:00,3.6,VA,1
5916,01/01/2022 00:00,0,VA,4
5917,01/01/2022 00:00,0.3,VA,1
5918,01/01/2022 00:00,0,VA,4
5920,01/01/2022 00:00,2.3,VA,1
5933,01/01/2022 00:00,0,VA,4
5969,01/01/2022 00:00,1.1,VA,1
6060,01/01/2022 00:00,302.7,VA,1
6137,01/01/2022 00:00,0.3,VA,1
6157,01/01/2022 00:00,100,VA,1
6158,01/01/2022 00:00,94.9,VA,1
6159,01/01/2022 00:00,100,VA,1
6161,01/01/2022 00:00,80.7,VA,1
6163,01/01/2022 00:00,83.7,VA,1
6164,01/01/2022 00:00,0,VA,1
6170,01/01/2022 00:00,99.5,VA,1
6174,01/01/2022 00:00,96,VA,1
6176,01/01/2022 00:00,98.6,VA,1
6179,01/01/2022 00:00,88.7,VA,1
6180,01/01/2022 00:00,99.5,VA,1
6183,01/01/2022 00:00,100,VA,1
6184,01/01/2022 00:00,99.6,VA,1
6185,01/01/2022 00:00,100,VA,1
6421,01/01/2022 00:00,99.7,VA,1
6430,01/01/2022 00:00,0.5,VA,1
6431,01/01/2022 00:00,0,VA,1
6432,01/01/2022 00:00,0,VA,1
6434,01/01/2022 00:00,0.3,VA,1
6440,01/01/2022 00:00,3.3,VA,1
6458,01/01/2022 00:00,0,VA,1
6597,01/01/2022 00:00,95.2,VA,1
6694,01/01/2022 00:00,0,VA,4
6696,01/01/2022 00:00,0,VA,1
6698,01/01/2022 00:00,1.1,VA,1
6699,01/01/2022 00:00,99.3,VA,1
6792,01/01/2022 00:00,0,VA,4
6795,01/01/2022 00:00,2.2,VA,1
6796,01/01/2022 00:00,100,VA,1
6819,01/01/2022 00:00,0,VA,4
6823,01/01/2022 00:00,1.7,VA,1
6824,01/01/2022 00:00,100,VA,1
6834,01/01/2022 00:00,0.5,VA,1
6835,01/01/2022 00:00,100,VA,1
