,Data,IdSensore,Valore,idsensore,tipologia,unit_dimisura,idstazione,nomestazione,quota,provincia,storico,datastart,datastop,cgb_nord,cgb_est,lat,lng,coordinate
0,2011-01-01,20,1.8,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
1,2011-01-10,20,1.4000000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
2,2011-01-12,20,5.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
3,2011-01-13,20,42.800000000000004,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
4,2011-01-14,20,0.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
5,2011-01-26,20,0.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
6,2011-01-05,20,0.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
7,2011-01-07,20,2.2,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
8,2011-01-08,20,1.6,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
9,2011-01-09,20,0.8,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
10,2011-10-10,20,5.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
11,2011-10-19,20,7.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
12,2011-10-25,20,45.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
13,2011-10-26,20,32.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
14,2011-10-27,20,0.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
15,2011-10-03,20,0.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
16,2011-10-06,20,8.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
17,2011-10-07,20,25.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
18,2011-10-08,20,0.8,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
19,2011-10-09,20,1.2000000000000002,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
20,2011-11-03,20,1.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
21,2011-11-04,20,13.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
22,2011-11-05,20,5.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
23,2011-11-06,20,1.6,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
24,2011-11-07,20,4.6000000000000005,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
25,2011-11-08,20,3.4000000000000004,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
26,2011-12-10,20,0.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
27,2011-12-11,20,0.8,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
28,2011-12-13,20,0.6000000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
29,2011-12-02,20,0.6000000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
30,2011-12-23,20,9.600000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
31,2011-12-26,20,2.2,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
32,2011-12-27,20,0.6000000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
33,2011-12-03,20,7.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
34,2011-12-04,20,0.6000000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
35,2011-12-05,20,0.2,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
36,2011-12-08,20,3.4000000000000004,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
37,2011-02-16,20,11.600000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
38,2011-02-17,20,1.2000000000000002,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
39,2011-02-18,20,2.2,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
40,2011-02-20,20,0.8,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
41,2011-02-21,20,0.6000000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
42,2011-02-27,20,2.8000000000000003,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
