,Data,IdSensore,Valore,idsensore,tipologia,unit_dimisura,idstazione,nomestazione,quota,provincia,storico,datastart,datastop,cgb_nord,cgb_est,lat,lng,coordinate
0,2011-01-01,2202,0.3506944444444444,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
1,2011-01-10,2202,0.058333333333333334,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
2,2011-01-11,2202,0.3104166666666667,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
3,2011-01-12,2202,0.5423611111111111,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
4,2011-01-13,2202,0.2263888888888889,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
5,2011-01-14,2202,0.13472222222222222,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
6,2011-01-15,2202,0.4263888888888889,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
7,2011-01-16,2202,0.2138888888888889,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
8,2011-01-17,2202,0.14305555555555557,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
9,2011-01-18,2202,0.11249999999999999,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
10,2011-01-19,2202,0.8645833333333334,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
11,2011-01-02,2202,0.4666666666666667,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
12,2011-01-20,2202,1.1708333333333334,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
13,2011-01-21,2202,0.9937499999999999,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
14,2011-01-22,2202,0.8548611111111111,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
15,2011-01-23,2202,0.5541666666666667,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
16,2011-01-24,2202,0.7041666666666667,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
17,2011-01-25,2202,0.8013888888888889,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
18,2011-01-26,2202,0.7715277777777777,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
19,2011-01-27,2202,0.7798611111111111,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
20,2011-01-28,2202,1.1159722222222221,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
21,2011-01-29,2202,0.5736111111111111,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
22,2011-01-03,2202,0.6958333333333333,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
23,2011-01-31,2202,0.7833333333333333,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
24,2011-01-04,2202,0.30972222222222223,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
25,2011-01-05,2202,0.39375000000000004,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
26,2011-01-06,2202,0.4305555555555556,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
27,2011-01-07,2202,0.16875,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
28,2011-01-08,2202,0.056944444444444436,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
29,2011-01-09,2202,0.0125,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
30,2011-10-10,2202,0.14027777777777778,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
31,2011-10-02,2202,0.2715277777777778,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
32,2011-10-20,2202,1.0340277777777778,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
