idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,datastop,utm_nord,utm_est,coordinate,
10001,Ossidi di Azoto,µg/m³,683,Cassano d'Adda 2-v.Milano,133,MI,Cassano d'Adda,N,2006-02-17T00:00:00.000,,5041567,540293,(45.526474, 9.515981)
10002,Monossido di Carbonio,mg/m³,683,Cassano d'Adda 2-v.Milano,133,MI,Cassano d'Adda,N,2006-04-22T00:00:00.000,,5041567,540293,(45.526474, 9.515981)
10004,Ossidi di Azoto,µg/m³,684,Truccazzano via Fornasino,105,MI,Truccazzano,S,2006-02-17T00:00:00.000,2018-01-01T00:00:00.000,5036889,536835,(45.48456, 9.471349)
10005,Biossido di Azoto,µg/m³,684,Truccazzano via Fornasino,105,MI,Truccazzano,S,2006-02-17T00:00:00.000,2018-01-01T00:00:00.000,5036889,536835,(45.48456, 9.471349)
10006,Biossido di Zolfo,µg/m³,684,Truccazzano via Fornasino,105,MI,Truccazzano,S,2006-02-17T00:00:00.000,2018-01-01T00:00:00.000,5036889,536835,(45.48456, 9.471349)
10007,Monossido di Carbonio,mg/m³,684,Truccazzano via Fornasino,105,MI,Truccazzano,S,2006-02-17T00:00:00.000,2018-01-01T00:00:00.000,5036889,536835,(45.48456, 9.471349)
10013,Particelle sospese PM2.5,µg/m³,576,Merate v. Madonna di Loreto,279,LC,Merate,N,2006-09-10T00:00:00.000,,5060569,531623,(45.697952, 9.406191)
10016,Biossido di Zolfo,µg/m³,664,Mantova p.zza Gramsci,18,MN,Mantova,N,2006-10-30T00:00:00.000,,5001351,640031,(45.151745, 10.781407)
10017,Ossidi di Azoto,µg/m³,685,Calusco d'Adda v. Caduti sul Lavoro,273,BG,Calusco d'Adda,N,2006-06-30T00:00:00.000,,5059767,537706,(45.69043, 9.484261)
10018,Benzene,µg/m³,685,Calusco d'Adda v. Caduti sul Lavoro,273,BG,Calusco d'Adda,N,2006-06-30T00:00:00.000,,5059767,537706,(45.69043, 9.484261)
10019,Biossido di Azoto,µg/m³,685,Calusco d'Adda v. Caduti sul Lavoro,273,BG,Calusco d'Adda,N,2006-06-30T00:00:00.000,,5059767,537706,(45.69043, 9.484261)
10020,Biossido di Zolfo,µg/m³,685,Calusco d'Adda v. Caduti sul Lavoro,273,BG,Calusco d'Adda,N,2006-06-30T00:00:00.000,,5059767,537706,(45.69043, 9.484261)
10023,Monossido di Carbonio,mg/m³,685,Calusco d'Adda v. Caduti sul Lavoro,273,BG,Calusco d'Adda,S,2006-06-30T00:00:00.000,,5059767,537706,(45.69043, 9.484261)
10025,Ozono,µg/m³,685,Calusco d'Adda v. Caduti sul Lavoro,273,BG,Calusco d'Adda,N,2006-06-30T00:00:00.000,,5059767,537706,(45.69043, 9.484261)
10027,PM10 (SM2005),µg/m³,685,Calusco d'Adda v. Caduti sul Lavoro,273,BG,Calusco d'Adda,N,2006-06-30T00:00:00.000,,5059767,537706,(45.69043, 9.484261)
10028,Particelle sospese PM2.5,µg/m³,685,Calusco d'Adda v. Caduti sul Lavoro,273,BG,Calusco d'Adda,N,2006-06-30T00:00:00.000,,5059767,537706,(45.69043, 9.484261)
10029,Particolato Totale Sospeso,µg/m³,685,Calusco d'Adda v. Caduti sul Lavoro,273,BG,Calusco d'Adda,S,2006-05-05T00:00:00.000,2017-01-01T00:00:00.000,5059767,537706,(45.69043, 9.484261)
10035,Benzene,µg/m³,672,Cornale v.Libertà,74,PV,Cornale,N,2006-02-02T00:00:00.000,,4987406,493238,(45.040077, 8.9141445)
10036,Benzene,µg/m³,673,Voghera v.Pozzoni,90,PV,Voghera,N,2005-07-28T00:00:00.000,,4982900,500665,(44.999546, 9.008437)
10037,Ossidi di Azoto,µg/m³,687,Ferno v.Di Dio,215,VA,Ferno,N,2006-11-06T00:00:00.000,,5051773,481053,(45.619244, 8.75697)
10038,Biossido di Azoto,µg/m³,687,Ferno v.Di Dio,215,VA,Ferno,N,2006-11-06T00:00:00.000,,5051773,481053,(45.619244, 8.75697)
10039,Monossido di Carbonio,mg/m³,687,Ferno v.Di Dio,215,VA,Ferno,N,2006-11-06T00:00:00.000,,5051773,481053,(45.619244, 8.75697)
10041,Ozono,µg/m³,687,Ferno v.Di Dio,215,VA,Ferno,N,2006-11-06T00:00:00.000,,5051773,481053,(45.619244, 8.75697)
10043,PM10 (SM2005),µg/m³,687,Ferno v.Di Dio,215,VA,Ferno,N,2006-11-29T00:00:00.000,,5051773,481053,(45.619244, 8.75697)
